Legende	layer.Nr	THICK	STONEF	PSIF	THETAF	THSAT	BEXP	KF	WETINF	SWATMX
320	1	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
320	2	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
320	3	0.15	0.4	-25	0.365	0.485	5.3	13.1	0.92	43.65
320	4	0.4	0.6	-7	0.188	0.395	4.05	4	0.92	63.2
320	5	0.2	0.6	-7	0.188	0.395	4.05	4	0.92	31.6
321	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
321	2	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
321	3	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
321	4	0.5	0.2	-25	0.365	0.485	5.3	13.1	0.92	194
322	1	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
322	2	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
322	3	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
322	4	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
322	5	0.25	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	61.5
323	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
323	2	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
323	3	0.55	0.1	-25	0.365	0.485	5.3	13.1	0.92	240.075
323	4	0.85	0.1	-25	0.365	0.485	5.3	13.1	0.92	371.025
323	5	0.1	0.1	-6	0.397	0.477	7.75	4.9	0.92	42.93
323	6	0.15	0.4	-25	0.365	0.485	5.3	13.1	0.92	43.65
324	1	0.05	0.2	-25	0.365	0.485	5.3	13.1	0.92	19.4
324	2	0.4	0.2	-25	0.365	0.485	5.3	13.1	0.92	155.2
324	3	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
324	4	0.15	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	26.1
324	5	0.2	0.9	-7	0.188	0.395	4.05	4	0.92	7.9
325	1	0.02	0.1	-25	0.365	0.485	5.3	13.1	0.92	8.73
325	2	0.03	0.1	-25	0.365	0.485	5.3	13.1	0.92	13.095
325	3	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
325	4	0.45	0.1	-25	0.365	0.485	5.3	13.1	0.92	196.425
325	5	0.55	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	148.83
326	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
326	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
326	3	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
326	4	0.3	0.2	-7.7	0.425	0.482	11.4	4.3	0.94	115.68
327	1	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
327	2	0.1	0.2	-25	0.365	0.485	5.3	13.1	0.92	38.8
327	3	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
327	4	0.3	0.2	-7.7	0.425	0.482	11.4	4.3	0.94	115.68
327	5	0.2	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	50.4
328	1	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
328	2	0.05	0.2	-25	0.365	0.485	5.3	13.1	0.92	19.4
328	3	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
328	4	0.15	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
328	5	0.55	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	135.3
329	1	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
329	2	0.1	0.2	-25	0.365	0.485	5.3	13.1	0.92	38.8
329	3	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
329	4	0.15	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
329	5	0.55	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	135.3
330	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
330	2	0.2	0.4	-14.8	0.402	0.476	8.52	7.3	0.92	57.12
330	3	0.25	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	63
330	4	0.15	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	37.8
331	1	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
331	2	0.6	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	208.8
332	1	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
332	2	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
332	3	0.15	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	36.9
332	4	0.5	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	82
333	1	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
333	2	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
333	3	0.5	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	174
334	1	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
334	2	0.6	0.2	-25	0.365	0.485	5.3	13.1	0.92	232.8
334	3	0.1	0.2	-7.7	0.425	0.482	11.4	4.3	0.94	38.56
334	4	0.3	0.4	-7.7	0.425	0.482	11.4	4.3	0.94	86.76
335	1	0.3	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	110.7
335	2	0.9	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	352.35
336	1	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
336	2	0.9	0	-8.5	0.324	0.451	5.39	6.3	0.92	405.9
336	3	0.2	0	-7.9	0.266	0.435	4.9	5.5	0.92	87
337	1	0.04	0.4	-25	0.365	0.485	5.3	13.1	0.92	11.64
337	2	0.86	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	224.46
339	1	0.02	0	-7	0.188	0.395	4.05	4	0.92	7.9
339	2	1.18	0	-7	0.188	0.395	4.05	4	0.92	466.1
341	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
341	2	0.55	0	-25	0.365	0.485	5.3	13.1	0.92	266.75
341	3	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
341	4	0.35	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	91.35
341	5	0.7	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	121.8
342	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
342	2	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
342	3	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
342	4	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
342	5	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
342	6	0.4	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
343	1	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
343	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
343	3	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
343	4	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
343	5	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
344	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
344	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
344	3	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
344	4	0.25	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
344	5	0.3	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	75.6
345	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
345	2	0.15	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	60.885
345	3	0.3	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
345	4	0.3	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
346	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
346	2	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
346	3	0.25	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	65.25
346	4	0.45	0.9	-7.9	0.266	0.435	4.9	5.5	0.92	19.575
347	1	0.3	0.4	-25	0.365	0.485	5.3	13.1	0.92	87.3
348	1	0.05	0.6	-14.8	0.402	0.476	8.52	7.3	0.92	9.52
348	2	0.25	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	45.1
348	3	0.25	0.9	-8.5	0.324	0.451	5.39	6.3	0.92	11.275
349	1	0.1	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
349	2	0.15	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
349	3	0.25	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
349	4	0.3	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
349	5	0.4	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
350	1	0.15	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
350	2	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
350	3	0.25	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	65.25
350	4	0.4	0.4	-7	0.188	0.395	4.05	4	0.92	94.8
350	5	0.2	0.4	-7	0.188	0.395	4.05	4	0.92	47.4
351	1	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
351	2	0.1	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
351	3	0.5	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	130.5
351	4	0.2	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
352	1	1	0.48	-8.5	0.324	0.451	5.39	6.3	0.92	234.52
353	1	0.1	0	-7.9	0.266	0.435	4.9	5.5	0.92	43.5
353	2	0.1	0	-8.5	0.324	0.451	5.39	6.3	0.92	45.1
353	3	0.2	0	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
353	4	0.15	0	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
353	5	0.3	0	-8.5	0.324	0.451	5.39	6.3	0.92	135.3
353	6	0.35	0	-3.8	0.203	0.41	4.38	3.5	0.92	143.5
354	1	0.2	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
355	1	1.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	523.8
356	1	0.02	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	5.412
356	2	0.98	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	255.78
357	1	0.08	0	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
357	2	0.22	0	-7.9	0.266	0.435	4.9	5.5	0.92	95.7
359	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
359	2	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
359	3	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
359	4	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
359	5	0.2	0	-6	0.397	0.477	7.75	4.9	0.92	95.4
359	6	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
360	1	0.08	0	-25	0.365	0.485	5.3	13.1	0.92	38.8
360	2	0.27	0	-25	0.365	0.485	5.3	13.1	0.92	130.95
360	3	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
360	4	0.08	0	-25	0.365	0.485	5.3	13.1	0.92	38.8
360	5	0.12	0	-25	0.365	0.485	5.3	13.1	0.92	58.2
360	6	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
360	7	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
361	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
361	2	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
361	3	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
361	4	0.55	0	-25	0.365	0.485	5.3	13.1	0.92	266.75
361	5	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
362	1	0.26	0	-25	0.365	0.485	5.3	13.1	0.92	126.1
362	2	0.07	0	-25	0.365	0.485	5.3	13.1	0.92	33.95
362	3	0.18	0	-25	0.365	0.485	5.3	13.1	0.92	87.3
362	4	0.24	0	-25	0.365	0.485	5.3	13.1	0.92	116.4
362	5	0.6	0	-25	0.365	0.485	5.3	13.1	0.92	291
362	6	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
363	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
363	2	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
363	3	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
363	4	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
363	5	0.8	0	-25	0.365	0.485	5.3	13.1	0.92	388
363	6	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
364	1	1.05	0	-25	0.365	0.485	5.3	13.1	0.92	509.25
365	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
365	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
365	3	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
365	4	0.4	0.2	-7	0.188	0.395	4.05	4	0.92	126.4
366	1	0.05	0.2	-25	0.365	0.485	5.3	13.1	0.92	19.4
366	2	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
366	3	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
366	4	0.15	0.9	-3.8	0.203	0.41	4.38	3.5	0.92	6.15
366	5	0.15	0.9	-3.8	0.203	0.41	4.38	3.5	0.92	6.15
367	1	0.07	0.1	-25	0.365	0.485	5.3	13.1	0.92	30.555
367	2	0.47	0.1	-25	0.365	0.485	5.3	13.1	0.92	205.155
367	3	0.2	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	32.8
367	4	0.46	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	75.44
368	1	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
368	2	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
368	3	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
368	4	0.2	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
368	5	0.15	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	26.1
369	1	0.07	0.1	-25	0.365	0.485	5.3	13.1	0.92	30.555
369	2	0.21	0.1	-25	0.365	0.485	5.3	13.1	0.92	91.665
369	3	0.17	0.2	-25	0.365	0.485	5.3	13.1	0.92	65.96
369	4	0.38	0.6	-7	0.188	0.395	4.05	4	0.92	60.04
370	1	0.28	0.1	-25	0.365	0.485	5.3	13.1	0.92	122.22
370	2	0.14	0.1	-25	0.365	0.485	5.3	13.1	0.92	61.11
370	3	0.36	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	62.64
370	4	0.42	0.6	-7	0.188	0.395	4.05	4	0.92	66.36
371	1	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
371	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
371	3	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
371	4	0.55	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	198.44
371	5	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
372	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
372	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
372	3	0.1	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	26.1
372	4	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
372	5	0.1	0.6	-7	0.188	0.395	4.05	4	0.92	15.8
373	1	0.2	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
373	2	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
373	3	0.1	0.6	-25	0.365	0.485	5.3	13.1	0.92	19.4
373	4	0.1	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	32.8
373	5	0.65	0.1	-7	0.188	0.395	4.05	4	0.92	231.075
373	6	0.8	0.1	-7	0.188	0.395	4.05	4	0.92	284.4
374	1	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
374	2	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
374	3	0.18	0.1	-25	0.365	0.485	5.3	13.1	0.92	78.57
374	4	0.57	0.4	-7	0.188	0.395	4.05	4	0.92	135.09
375	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
375	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
375	3	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
375	4	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
375	5	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
376	1	0.26	0.1	-25	0.365	0.485	5.3	13.1	0.92	113.49
376	2	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
376	3	0.22	0.1	-25	0.365	0.485	5.3	13.1	0.92	96.03
376	4	0.28	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	119.952
376	5	0.34	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	138.006
377	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
377	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
377	3	0.15	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	58.725
377	4	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
377	5	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
377	6	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
377	7	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
378	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
378	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
378	3	0.2	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
378	4	0.3	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	128.52
378	5	0.3	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	117.45
379	1	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
379	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
379	3	0.35	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	126.28
379	4	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
379	5	0.4	0.2	-14.8	0.402	0.476	8.52	7.3	0.92	152.32
380	1	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
380	2	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
380	3	0.5	0.4	-7	0.188	0.395	4.05	4	0.92	118.5
380	4	0.1	0.4	-7	0.188	0.395	4.05	4	0.92	23.7
381	1	0.12	0.4	-7	0.188	0.395	4.05	4	0.92	28.44
382	1	0.05	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	18.45
382	2	0.44	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	162.36
382	3	0.36	0.2	-7	0.188	0.395	4.05	4	0.92	113.76
382	4	0.35	0.2	-7	0.188	0.395	4.05	4	0.92	110.6
383	1	0.26	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	90.48
383	2	0.12	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	39.36
383	3	0.44	0.6	-7	0.188	0.395	4.05	4	0.92	69.52
384	1	0.23	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	90.045
384	2	0.1	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
384	3	0.22	0.4	-7	0.188	0.395	4.05	4	0.92	52.14
384	4	0.25	0.2	-7	0.188	0.395	4.05	4	0.92	79
384	5	0.45	0.4	-7	0.188	0.395	4.05	4	0.92	106.65
384	6	0.15	0.1	-7	0.188	0.395	4.05	4	0.92	53.325
385	1	0.04	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	13.92
385	2	0.11	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	36.08
385	3	0.3	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	98.4
385	4	0.4	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	131.2
385	5	0.35	0.2	-7	0.188	0.395	4.05	4	0.92	110.6
386	1	0.28	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	109.62
386	2	0.05	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	18.04
386	3	0.52	0.2	-14.8	0.402	0.476	8.52	7.3	0.92	198.016
386	4	0.35	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	149.94
387	1	0.12	0	-7	0.188	0.395	4.05	4	0.92	47.4
387	2	0.09	0.4	-7	0.188	0.395	4.05	4	0.92	21.33
387	3	0.18	0.4	-7	0.188	0.395	4.05	4	0.92	42.66
387	4	0.52	0.4	-7	0.188	0.395	4.05	4	0.92	123.24
387	5	0.59	0.6	-7	0.188	0.395	4.05	4	0.92	93.22
388	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
388	2	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
388	3	0.9	0	-25	0.365	0.485	5.3	13.1	0.92	436.5
389	1	0.16	0.1	-7	0.188	0.395	4.05	4	0.92	56.88
389	2	0.27	0.1	-7	0.188	0.395	4.05	4	0.92	95.985
389	3	0.22	0.1	-7	0.188	0.395	4.05	4	0.92	78.21
389	4	0.75	0.1	-7	0.188	0.395	4.05	4	0.92	266.625
390	1	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
390	2	0.65	0	-25	0.365	0.485	5.3	13.1	0.92	315.25
390	3	0.4	0	-25	0.365	0.485	5.3	13.1	0.92	194
390	4	0.3	0	-6	0.397	0.477	7.75	4.9	0.92	143.1
391	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
391	2	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
391	3	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
391	4	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
392	1	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
392	2	1.15	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	466.785
393	1	0.03	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	11.07
393	2	1.17	0.1	-7	0.188	0.395	4.05	4	0.92	415.935
394	1	0.4	0	-25	0.365	0.485	5.3	13.1	0.92	194
394	2	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
394	3	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
394	4	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
394	5	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
394	6	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
395	1	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
395	2	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
395	3	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
395	4	0.4	0	-25	0.365	0.485	5.3	13.1	0.92	194
395	5	0.6	0	-25	0.365	0.485	5.3	13.1	0.92	291
396	1	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
396	2	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
396	3	0.55	0	-25	0.365	0.485	5.3	13.1	0.92	266.75
396	4	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
397	1	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
397	2	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
397	3	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
397	4	0.4	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	144.32
397	5	0.8	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	216.48
398	1	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
398	2	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
398	3	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
398	4	0.4	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	144.32
398	5	0.8	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	288.64
399	1	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
399	2	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
399	3	0.35	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	137.025
399	4	0.8	0.2	-7	0.188	0.395	4.05	4	0.92	252.8
400	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
400	2	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
400	3	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
400	4	0.45	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
400	5	0.8	0.4	-14.8	0.402	0.476	8.52	7.3	0.92	228.48
401	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
401	2	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
401	3	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
401	4	0.15	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	60.885
401	5	0.2	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
401	6	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
402	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
402	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
402	3	0.15	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
402	4	0.55	0.4	-7	0.188	0.395	4.05	4	0.92	130.35
403	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
403	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
403	3	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
403	4	0.1	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	17.4
403	5	0.3	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
403	6	0.2	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
404	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
404	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
404	3	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
404	4	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
404	5	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
404	6	0.8	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	278.4
405	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
405	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
405	3	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
405	4	0.6	0.4	-7	0.188	0.395	4.05	4	0.92	142.2
405	5	0.3	0.4	-7	0.188	0.395	4.05	4	0.92	71.1
406	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
406	2	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
406	3	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
406	4	0.55	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	191.4
406	5	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
406	6	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
407	1	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
